ClassSkillIndex,Level,IconResourcePath
1031,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_07
1031,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_07
1031,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_07
1031,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_07
1031,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_07
1041,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_08
1041,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_08
1041,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_08
1041,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_08
1041,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_08
2010,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_01
2010,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_01
2010,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_01
2010,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_01
2010,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_01
2020,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_02
2020,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_02
2020,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_02
2020,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_02
2020,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_02
2030,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_03
2030,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_03
2030,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_03
2030,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_03
2030,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_03
2040,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_04
2040,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_04
2040,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_04
2040,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_04
2040,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_04
2011,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_05
2011,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_05
2011,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_05
2011,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_05
2011,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_05
2021,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_06
2021,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_06
2021,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_06
2021,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_06
2021,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_06
2031,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_07
2031,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_07
2031,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_07
2031,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_07
2031,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_07
2041,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_08
2041,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_08
2041,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_08
2041,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_08
2041,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Lumina_08
3010,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_01
3010,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_01
3010,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_01
3010,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_01
3010,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_01
3020,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_02
3020,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_02
3020,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_02
3020,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_02
3020,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_02
3030,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_03
3030,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_03
3030,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_03
3030,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_03
3030,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_03
3040,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_04
3040,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_04
3040,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_04
3040,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_04
3040,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_04
3011,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_05
3011,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_05
3011,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_05
3011,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_05
3011,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_05
3021,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_06
3021,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_06
3021,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_06
3021,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_06
3021,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_06
3031,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_07
3031,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_07
3031,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_07
3031,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_07
3031,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_07
3041,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_08
3041,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_08
3041,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_08
3041,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_08
3041,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_BlackBullet_08
4010,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_01
4010,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_01
4010,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_01
4010,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_01
4010,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_01
4020,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_02
4020,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_02
4020,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_02
4020,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_02
4020,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_02
4030,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_03
4030,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_03
4030,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_03
4030,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_03
4030,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_03
4040,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_04
4040,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_04
4040,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_04
4040,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_04
4040,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_04
4011,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_05
4011,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_05
4011,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_05
4011,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_05
4011,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_05
4021,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_06
4021,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_06
4021,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_06
4021,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_06
4021,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_06
4031,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_07
4031,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_07
4031,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_07
4031,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_07
4031,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_07
4041,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_08
4041,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_08
4041,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_08
4041,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_08
4041,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Nekoming_08
