ClassSkillIndex,Level,IconResourcePath
5010,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_1_4
5010,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_1_5
5020,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_2_1
5020,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_2_2
5020,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_2_3
5020,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_2_4
5020,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_2_5
5030,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_3_1
5030,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_3_2
5030,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_3_3
5030,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_3_4
5030,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_3_5
5040,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_4_1
5040,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_4_2
5040,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_4_3
5040,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_4_4
5040,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_4_5
5050,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_5_1
5050,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_5_2
5050,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_5_3
5050,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_5_4
5050,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_5_5
5060,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_6_1
5060,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_6_2
5060,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_6_3
5060,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_6_4
5060,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_6_5
5070,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_7_1
5070,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_7_2
5070,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_7_3
5070,4,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_7_4
5070,5,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_7_5
